ZH;9878;20220512153000;20220512175000;HGH;SZX;
KY;9884;20220512194000;20220512215000;HGH;SZX;
KY;9882;20220512183000;20220512205000;HGH;SZX;
KY;9878;20220512153000;20220512175000;HGH;SZX;
KY;9880;20220512170500;20220512192000;HGH;SZX;
HO;5923;20220512135000;20220512161500;HGH;SZX;
HO;5987;20220512163000;20220512185000;HGH;SZX;
MF;1616;20220512135000;20220512161500;HGH;SZX;
MF;4570;20220512163000;20220512185000;HGH;SZX;
MF;1422;20220512205000;20220512225500;HGH;SZX;
MF;1414;20220512181000;20220512203500;HGH;SZX;
MF;4622;20220512215000;20220513000500;HGH;SZX;
MF;8044;20220512173500;20220512194500;HGH;SZX;
MF;4424;20220512145000;20220512170000;HGH;SZX;
GJ;3024;20220512173500;20220512194500;HGH;SZX;
CZ;4024;20220512173500;20220512194500;HGH;SZX;
CZ;3556;20220512181000;20220512203500;HGH;SZX;
CZ;3564;20220512205000;20220512225500;HGH;SZX;
CZ;3798;20220512135000;20220512161500;HGH;SZX;
CZ;8598;20220512163000;20220512185000;HGH;SZX;
CZ;8714;20220512215000;20220513000500;HGH;SZX;
CZ;6968;20220512145000;20220512170000;HGH;SZX;
Y8;7532;20220512210500;20220512231500;HGH;SZX;
CA;3560;20220512160000;20220512182500;CKG;SZX;
CA;3728;20220512201000;20220512222000;CKG;SZX;
CA;4343;20220512162000;20220512183500;CKG;SZX;
CA;3730;20220512225000;20220513005500;CKG;SZX;
GJ;3309;20220512191000;20220512213000;CKG;SZX;
HO;5891;20220512163500;20220512185500;CKG;SZX;
CZ;3456;20220512163500;20220512185500;CKG;SZX;
CZ;4309;20220512191000;20220512213000;CKG;SZX;
CZ;9635;20220512175000;20220512201000;CKG;SZX;
KY;9836;20220512160000;20220512182500;CKG;SZX;
KY;9430;20220512225000;20220513005500;CKG;SZX;
KY;9428;20220512201000;20220512222000;CKG;SZX;
ZH;9428;20220512201000;20220512222000;CKG;SZX;
ZH;3871;20220512175000;20220512201000;CKG;SZX;
ZH;9426;20220512160000;20220512182500;CKG;SZX;
ZH;9430;20220512225000;20220513005500;CKG;SZX;
3U;4132;20220512160000;20220512182500;CKG;SZX;
3U;1134;20220512163500;20220512185500;CKG;SZX;
3U;8785;20220512175000;20220512201000;CKG;SZX;
3U;4136;20220512225000;20220513005500;CKG;SZX;
3U;4134;20220512201000;20220512222000;CKG;SZX;
PN;6413;20220512200500;20220512222000;CKG;SZX;
HU;7258;20220512204500;20220512230500;CKG;SZX;
HU;7358;20220512164000;20220512185500;CKG;SZX;
HU;7158;20220512133000;20220512153000;CKG;SZX;
G5;9076;20220512225000;20220513005500;CKG;SZX;
G5;9074;20220512201000;20220512222000;CKG;SZX;
G5;9072;20220512160000;20220512182500;CKG;SZX;
MF;8389;20220512191000;20220512213000;CKG;SZX;
MF;1336;20220512163500;20220512185500;CKG;SZX;
TV;6587;20220512225000;20220513005500;CKG;SZX;
